name,Country,Home Location Type,Reading Score Before Help,Reading Score After Help,School Satisfaction Before Help,School Satisfaction After Help
Jeremy Stanley,USA,Rural,82.8,78.77,3,4.23299866932979
John Mcclure,USA,Town,40.0,47.68,3,3.76566378040233
James Nunez,USA,City,56.7,67.25,1,1.33545463957778
Sara Palmer,NZ,Town,58.97,85.25,3,3.9304250411711
Alan Simon,USA,City,46.97,47.44,5,5.0
Samantha Fleming,Denmark,Rural,64.28,66.15,5,5.0
Kathleen Wright,South Korea,Town,54.67,66.64,5,5.0
Erin Chavez,Denmark,Rural,41.64,44.58,4,5.0
Jeremy Becker,NZ,Town,53.85,69.79,4,4.73060052245385
Monica Frey,Denmark,City,55.36,56.97,2,2.14896391069188
Kevin Rodriguez,South Korea,City,77.92,77.88,3,4.05841074452291
Justin Love,USA,City,40.0,36.81,4,5.0
Gregory Knapp,USA,Town,56.38,62.9,1,1.23030661336994
Shannon Johnson,NZ,City,69.66,82.06,3,3.72221758727482
Marisa Hill,USA,Rural,62.79,71.23,4,4.57203453862446
David Reyes,South Korea,City,40.0,56.65,3,3.1584669484692
Brittany Harrell,South Korea,Town,40.0,42.62,1,1.1161072802014
Julian Perkins,USA,City,41.37,50.55,2,2.30249890967535
Levi Bond,USA,Town,57.01,57.56,4,4.55211398341913
Perry Bond,USA,City,56.62,64.75,3,4.04957895454316
Samantha Stevens,NZ,Town,59.58,64.56,4,5.0
Jennifer Reed,NZ,Rural,59.25,52.9,1,1.2863686673743
Ashley Archer,South Korea,City,88.5,100.0,4,4.68582969895323
Patricia Walton,Denmark,Rural,45.32,61.84,4,4.21673076273785
Mikayla Buchanan,NZ,Town,60.24,75.39,3,3.14656796213431
Kelly Jackson,USA,Rural,40.0,48.31,2,2.28350387499501
Sharon Meyer,NZ,City,65.24,78.04,3,3.56604562010068
Chelsey Bishop MD,South Korea,City,52.45,64.62,4,5.0
Jennifer Bush,NZ,City,93.72,97.31,3,3.29965012591349
Travis Pearson,USA,Town,40.0,58.84,2,2.12558887956976
Thomas Martinez,USA,City,53.35,71.64,2,2.75848684565664
Ryan Carlson,USA,City,61.35,82.81,3,3.3498669646142
Lonnie Matthews,USA,City,54.22,65.71,4,5.0
William Lopez,Denmark,City,52.55,65.59,4,4.86866827609953
Cassandra Dunn,USA,City,40.0,44.33,3,4.43883744565322
Raymond Sheppard,USA,Town,48.01,60.63,2,2.56643140916195
Rebecca May,NZ,City,68.72,74.36,4,4.1551232277475
Melinda Velasquez,USA,City,58.06,53.94,3,3.5809048568342
Brenda Sullivan,USA,City,40.0,52.18,3,3.83667474924949
Courtney Horn,NZ,City,45.7,50.05,1,1.00695471942904
Micheal Davis,Denmark,Rural,82.15,100.0,1,1.27042640137481
Deborah Richards,USA,City,92.42,100.0,3,3.6738915733969
Erin Adkins,USA,Rural,79.52,93.59,2,2.3017154886488
James Perez,USA,Town,56.52,76.74,5,5.0
Joshua Jones,USA,Rural,92.43,100.0,4,4.56487459068253
Jenna Adams,USA,City,63.62,76.76,3,3.48502930941251
Diane Richards,USA,City,77.61,100.0,4,4.12716808767887
Nancy Smith,Denmark,Rural,40.0,56.46,2,2.81485795486988
Scott Banks,South Korea,Town,40.0,49.18,1,1.14896345206543
William Wilson,USA,Town,47.26,54.41,3,3.62066817415698
Jennifer Flores,USA,Rural,79.05,100.0,4,4.14634032555481
David Stanley,Denmark,City,58.16,70.71,4,4.81987784666019
Veronica Clark,USA,City,56.63,72.57,2,2.40574164976278
Brenda Andersen,Denmark,Rural,63.61,78.14,3,3.65936016297817
Peter Franklin,USA,City,91.82,100.0,3,3.59265413661593
Randall Smith,USA,Town,49.52,62.79,2,2.30438155884089
Matthew Hardin,NZ,City,86.97,100.0,4,4.50924755126519
Grant Logan,South Korea,Rural,52.69,66.72,3,3.60614230695428
George Greer,South Korea,Town,45.65,52.66,3,4.07761843850028
Barbara Yoder,NZ,Rural,62.81,65.96,3,4.12713064977646
John Allen,South Korea,City,80.0,100.0,4,4.90947880491057
Stacy Smith,South Korea,Town,83.91,100.0,1,1.12299596763615
Stephen Lopez,USA,Rural,57.23,64.58,2,2.4477457906764
Daniel Carrillo,Denmark,Town,42.07,49.42,4,5.0
Donna Parker,USA,Town,70.15,88.98,4,5.0
Carla Haynes,USA,City,46.6,54.94,3,3.49256771519595
Joshua Conley,NZ,Rural,50.72,54.26,4,4.79738971599865
Jennifer Hinton,South Korea,Rural,81.89,93.29,2,2.26108746633494
Anthony Perez,Denmark,City,40.0,53.08,3,3.42325302038654
Vincent Lynch,USA,City,40.0,41.86,2,2.18727628865049
Denise Smith,USA,City,73.26,86.56,3,4.27280080941383
Gerald Thomas,USA,City,57.49,63.5,4,4.87635094798298
Katie Wilcox,USA,City,85.75,94.18,1,1.15859893288482
Jessica Morales,USA,Rural,62.64,71.89,5,5.0
Jonathan Hill,Denmark,City,77.16,85.57,4,3.96548635507123
Ashley James,USA,City,79.93,87.44,5,5.0
Traci Mendez,NZ,Rural,63.2,77.83,4,5.0
Peter Jones,USA,City,73.03,87.77,3,3.88346236847252
Penny Smith,USA,Town,80.58,89.2,2,2.39470752613111
Ronald Hernandez,NZ,Town,89.33,95.55,3,4.07457854908106
Peter Williams,USA,City,40.0,46.64,4,4.53013470465199
Donna Wall,NZ,Town,90.02,100.0,4,5.0
Brandy Hampton,USA,City,100.0,100.0,5,5.0
Justin Williams,USA,City,81.81,100.0,2,2.43026531949489
Paul Poole,Denmark,Town,59.66,79.63,2,2.37686875460098
Michael Kerr,Denmark,Town,67.45,81.98,3,3.139882792065
Billy Ramos,USA,City,63.96,73.47,3,3.85609172844248
Jesse Arnold,South Korea,City,56.67,70.06,4,4.79714917244407
Bryan Stone,USA,Town,77.61,99.45,3,3.44238206289443
Shannon Cook,South Korea,City,63.08,72.71,2,2.61814561427109
Emily Murphy,NZ,City,45.14,60.88,4,5.0
Scott Palmer,Denmark,Town,52.16,47.97,4,5.0
Robin Mclean,USA,City,53.47,67.99,3,4.43887615462818
Kelly Shepherd,South Korea,Town,40.0,53.28,3,3.48120148275088
Bryan Rogers,USA,City,90.21,100.0,3,3.57081777143215
Taylor Rice,USA,City,80.13,87.2,4,5.0
Juan Williams,South Korea,Town,60.1,72.26,3,3.96381390191529
Matthew Perry,South Korea,Rural,61.71,68.25,3,3.74764202422446
Troy Hines,USA,City,62.62,90.68,3,3.83834331194783
Kyle Dickerson,USA,City,52.34,60.72,4,5.0
James Martinez,USA,City,56.05,62.23,4,4.4624615602159
Carrie Abbott,USA,City,48.73,59.54,3,3.58906680811249
Anthony Harper,USA,Town,61.58,67.49,3,3.83425502320514
Sara Lucas,South Korea,City,40.0,45.57,2,2.5605972518079
Richard Ho,South Korea,City,86.76,99.26,4,4.98423150968866
Terry Jackson,USA,City,40.0,49.85,1,1.25333079139145
Mr. David Mckinney,NZ,Town,63.1,83.01,4,5.0
Brandon Cohen,USA,Town,58.65,65.6,4,4.01111838961092
Brenda Wheeler,USA,Rural,73.79,89.2,4,4.56796688896813
Melissa Harvey,NZ,Town,76.24,76.5,4,4.62701693289948
Traci Buckley,Denmark,Town,40.0,57.23,2,2.38201427207815
Jason Gilbert,USA,Rural,58.2,63.73,3,3.77045701157364
Robin Hernandez,USA,City,47.72,54.84,3,3.57513481013977
Emily Grant,NZ,City,91.73,100.0,2,2.8289682361487
Vicki Wilson,USA,City,59.99,62.32,4,4.83882335997209
Elizabeth Richardson,USA,City,79.09,87.92,4,4.24185526839158
Tiffany Blankenship,South Korea,Rural,69.83,81.97,2,2.35539624586417
Andrew Cortez,USA,City,42.04,40.48,4,4.75315854061604
Austin Taylor,USA,City,75.78,90.14,4,4.38956966542451
Theodore Ryan,USA,City,75.99,79.39,3,3.68574973158062
Samantha Booth,USA,Rural,92.21,100.0,1,1.2907587592204
Nicole Davis,USA,City,65.14,86.75,4,4.93725767362895
Madeline Mckay,NZ,Town,49.47,58.16,3,3.21048039390798
George Lucero,USA,City,42.92,53.95,3,3.53917795733003
Charles Hawkins,Denmark,City,40.0,47.34,4,4.56841067784475
Amy Nunez,USA,Rural,64.55,92.29,5,5.0
Austin Norris,Denmark,Town,67.02,72.63,2,2.95816380738569
Haley Fleming,South Korea,Town,67.71,81.65,3,3.7436645370663
Brianna White,USA,Town,53.78,65.19,2,2.27537523204764
Alan Steele,NZ,Town,40.0,49.19,4,3.92354184878464
Shannon Shea,Denmark,City,40.0,48.69,1,1.16432745554773
Kathryn Lester,Denmark,City,57.5,69.34,2,2.95532463474106
John Stanley,South Korea,City,52.69,67.89,4,4.05272317511507
Zachary Kennedy,USA,City,74.91,71.34,3,3.72177706241884
Alexandra Thompson,USA,City,47.78,49.98,3,4.09251284822305
Heather Lee,USA,City,51.31,61.53,3,3.64598304321749
David Werner,South Korea,Rural,60.77,58.88,3,3.89984095452183
Tyler Morris,NZ,City,100.0,100.0,5,5.0
Jessica Alexander,NZ,Rural,72.97,100.0,5,5.0
Alexandra Thomas,South Korea,City,55.93,74.11,1,1.36913404194002
Matthew Jacobson,NZ,Rural,53.1,65.98,3,3.29756739043126
Robert Ford,USA,City,61.62,57.12,2,2.51025474377592
Rebecca Williams,Denmark,Rural,40.0,54.94,4,4.77189193264219
Michael Sparks,USA,Rural,52.78,56.87,1,1.0
Barbara Hernandez,Denmark,Rural,84.67,100.0,1,1.3543007974265
Elizabeth Higgins,USA,Town,47.25,57.4,3,3.54116080893315
Ms. Jenna Kirby,USA,City,50.08,58.18,4,4.55488062257941
David Evans,USA,City,97.61,100.0,2,2.22767503369287
Gary Gutierrez,USA,Town,55.46,51.37,5,5.0
Emily Li,South Korea,City,40.0,45.7,1,1.21442086118793
Donna Moses,South Korea,Town,53.81,68.59,4,5.0
Rebecca Santiago,USA,City,40.0,46.31,3,3.62901533486062
Leslie Cook,Denmark,Rural,45.25,58.09,2,2.07889660340739
Stephanie Carroll,Denmark,City,88.92,100.0,3,2.92158386927751
Brandi Holt,South Korea,Town,56.32,71.38,3,3.79637144507911
Timothy Murray,USA,Rural,88.83,100.0,2,2.50499080691501
Melissa Kelly,South Korea,City,81.95,79.99,3,3.70913180197415
Christopher Mejia,South Korea,City,82.67,100.0,4,5.0
Bailey Davila,USA,Rural,45.87,47.29,3,3.96341171058062
Wesley Williams,South Korea,City,81.93,97.16,4,4.68768501150005
Brooke Barton,USA,City,64.91,90.15,5,4.96377674257706
Jessica Ortiz,USA,City,40.0,50.97,2,2.17335915325638
Megan Hartman,Denmark,City,58.01,72.23,2,2.46613130696449
Ryan Jones,USA,Rural,70.7,86.04,2,2.36559176293882
Jason Hall,South Korea,City,100.0,100.0,2,2.11741142209466
Brad Alvarez,South Korea,Rural,60.05,80.1,3,4.06814029974411
Miguel Harvey,USA,Rural,40.0,49.49,3,4.42605366342149
Jack Cooper,Denmark,Town,84.44,94.1,3,3.39146993483755
Nancy Mendoza,USA,Rural,46.86,58.65,1,1.24387681234936
Cory Vincent,South Korea,City,97.86,100.0,4,4.45109049148761
Stephanie Allen,USA,Rural,53.37,58.78,3,3.39918010321011
Stephen Green,NZ,City,51.67,63.71,2,2.46479588544641
Keith Smith,South Korea,Town,89.98,100.0,4,5.0
Luke Richmond,NZ,Town,74.87,78.51,2,2.17441398339911
Mary Lara,USA,City,79.76,86.84,2,2.69963067810038
Mary Miller,USA,City,64.2,78.29,4,4.98917187388896
Audrey Myers,USA,City,78.13,100.0,3,3.62604397117557
Christopher Beasley,Denmark,Rural,79.01,88.07,4,4.28660040062208
Sandra Olsen,USA,Town,42.69,48.13,3,3.66512715076545
Ralph Walker,USA,Rural,81.77,100.0,3,3.96730069058463
Maria Reed,USA,City,40.0,45.68,4,4.6970393447311
Deborah Estrada,USA,City,75.74,92.22,3,4.01267672739844
Alyssa Leach,NZ,Rural,51.94,76.02,3,3.7375692922269
Kevin Castillo,USA,City,53.92,62.32,3,4.00486005694247
Tiffany Ruiz,USA,Rural,68.93,86.72,2,2.57931374408456
Annette Leonard,Denmark,City,97.28,100.0,4,5.0
Nathan Glover,South Korea,Town,89.0,100.0,4,5.0
Patricia Hill,Denmark,City,40.0,55.73,4,4.59676635333541
Jeffrey Soto,USA,Town,85.71,93.91,5,4.79422646300571
Ronald Andrade,Denmark,Town,60.08,64.69,3,3.51948913877157
Curtis Smith,South Korea,Town,79.49,100.0,3,3.84659991595126
Jacqueline Malone,South Korea,Town,59.14,71.32,4,5.0
Douglas Johnson,South Korea,Town,49.72,55.25,2,2.8287488586454
Wesley Hogan,USA,City,73.44,84.36,3,3.24622177532739
Evan Gilbert II,NZ,City,64.44,72.48,2,2.3232608586871
Karen Drake,South Korea,City,59.14,69.15,4,5.0
Logan Vaughan,USA,City,46.06,57.7,4,4.9005798696058
Tonya Williams,USA,City,64.25,67.87,3,3.67797615756402
Helen Hale,USA,Rural,93.03,100.0,5,5.0
Rachel Hoffman,USA,City,78.97,84.5,1,1.16741743992105
Eric Kramer,USA,Rural,85.59,100.0,3,3.68067685428852
Christopher Foster,USA,Rural,44.54,53.65,2,2.50216047084836
Rachel Mays,USA,City,40.0,37.78,3,3.67080757571635
Joseph Hutchinson,USA,City,62.32,81.67,4,4.91499130317981
Tiffany King,USA,City,68.04,80.93,1,1.33968676164799
Robert Howard,South Korea,Town,66.73,88.11,2,2.55399251722229
Stephanie Smith,USA,Town,88.24,99.67,3,4.30539287143007
Vickie Khan,South Korea,City,45.43,62.43,2,2.24643122569468
Melanie Gomez,South Korea,Rural,57.35,57.91,4,4.33156556209526
Tiffany Bell,USA,Rural,41.89,48.47,2,2.07353528434356
Joseph Vasquez,NZ,Rural,42.04,58.71,2,2.82908532014862
Diane Evans,USA,City,100.0,100.0,3,4.04353533630231
Donald Pruitt,South Korea,City,53.71,64.58,5,5.0
Dr. Amy Rush,Denmark,Town,40.0,50.4,3,3.90416835288831
Randall Banks,USA,Town,71.28,74.56,4,5.0
Richard Ortega,South Korea,City,72.57,93.63,3,3.17743439179206
Theresa Boyd DDS,USA,City,51.45,55.5,5,5.0
Alicia Farrell,USA,City,46.93,51.37,3,3.85131523891744
Rachel Delacruz,NZ,City,43.19,36.86,4,4.56999194947938
Erik Stewart,USA,Rural,63.51,73.02,2,2.39933796712093
Bryan Young,Denmark,Town,74.16,97.48,4,5.0
Kenneth Cannon,Denmark,Rural,40.0,50.11,4,4.502646546787
Jason Castaneda,NZ,Rural,40.0,54.94,3,3.46923869385857
Eric Munoz,NZ,City,40.0,42.47,1,1.23866493801709
Crystal Burgess,USA,Town,65.23,90.84,3,3.75397752122233
Joshua Bailey,USA,City,62.57,85.44,2,2.28745378320356
Pamela Day,NZ,Town,72.42,88.91,4,4.04577493036926
Tracy Farley,NZ,City,100.0,100.0,4,4.67660706226894
Darren Vasquez,South Korea,Rural,40.0,41.47,3,3.33178072484263
Michael Hall,Denmark,Rural,40.0,39.32,3,3.52573535603338
Stanley Galvan MD,USA,Town,58.19,62.46,3,3.63017946938453
Ashley Atkinson,South Korea,City,76.69,94.85,3,3.70138260003126
Trevor Summers,Denmark,Rural,65.55,82.56,2,2.69333678694461
Nathan Kennedy,Denmark,Rural,90.54,100.0,3,3.88951693835096
Lisa Gordon,NZ,Rural,54.81,55.34,5,5.0
Becky Berry,Denmark,Town,71.91,81.08,5,5.0
Jesse Graves,USA,City,45.0,64.85,3,3.31674298510772
Angela James,NZ,Rural,76.35,97.46,2,2.64207041901468
Connie Melton,NZ,Rural,68.4,91.26,4,4.3585840351043
Crystal Carpenter,NZ,City,52.85,64.75,5,5.0
Mr. Michael Dougherty,South Korea,City,60.32,77.47,2,2.70788454389156
John Smith,USA,City,66.88,81.6,3,3.77316436656859
Bryan Anderson,NZ,Rural,60.3,83.13,4,5.0
Jose Ortiz,USA,City,40.0,48.45,4,4.13808853945411
Stephen Lynn,Denmark,City,40.0,46.69,4,4.24458094798593
Martin Watts,South Korea,Town,40.0,53.48,1,1.16684568676647
Amber Doyle,NZ,Rural,59.45,65.1,4,4.37810018932378
Joshua Shepard,USA,City,48.91,66.07,2,2.59097977152772
Lauren Nielsen,USA,City,87.64,88.72,2,2.77700812695776
Joshua Zuniga,USA,Town,55.3,65.44,3,3.91730434730613
Evelyn Burke,South Korea,Town,65.7,78.02,2,2.47625932648164
Michael Smith,USA,City,74.26,90.85,4,4.24903622344403
Stephanie Acosta,NZ,City,45.17,61.01,3,3.99840791786612
Timothy Turner,USA,City,85.56,96.11,3,3.51529403762307
Taylor Serrano,USA,City,69.39,84.21,3,3.84595964342108
Roy Evans,NZ,City,64.63,84.8,5,5.0
Teresa Page,South Korea,Town,62.6,77.22,4,5.0
Eric Peterson,USA,City,40.0,52.1,2,2.63962317742482
Kelsey Dixon,Denmark,Rural,56.01,73.94,3,3.69618133621682
Luis Monroe,NZ,Rural,63.98,74.87,3,3.55535573649199
Theodore Phillips,South Korea,City,40.0,46.29,3,3.62422622899814
Megan Reed,South Korea,City,74.47,100.0,2,2.53325328113321
James Green,USA,City,56.25,71.89,1,1.14192750926757
Donna Jenkins,USA,Town,78.16,84.11,4,4.41996135044272
Timothy Gonzales,South Korea,City,51.58,65.73,2,2.67571146125575
Kristen Strong,NZ,City,54.49,80.6,5,5.0
Carol Peters,USA,City,84.42,100.0,3,3.17149817073644
Carolyn Foster,USA,City,68.43,75.29,3,3.708746103827
Erin Bryant,USA,City,43.69,47.74,4,4.45738911925693
Amanda Lowe,USA,Town,52.95,59.33,3,3.67467788520809
Jonathan Davis,South Korea,City,89.14,100.0,3,3.56670770129598
Jasmine Lopez,USA,City,43.48,54.18,3,3.61166924582494
Angela Martinez,USA,Town,57.92,62.92,1,1.13280671080981
Lori Harris,South Korea,Town,46.64,54.92,3,3.60217869333874
Michael Harrington,USA,Town,40.0,56.14,2,2.58070747303773
Barbara Watson,USA,City,60.86,72.93,3,3.97053681094006
Carolyn Meza,NZ,Town,94.32,100.0,4,4.19165986975595
Micheal Miller,Denmark,Rural,81.61,100.0,3,3.98264735486356
James Wilkins,USA,City,62.25,76.4,2,2.48450301476296
Jennifer Green,South Korea,Rural,60.08,71.83,3,3.65748787693284
Danielle Ford,USA,Rural,96.26,100.0,2,2.55520399839243
Nicole Rosales,USA,Town,54.04,63.25,3,4.1386859539531
Nicholas Harrell,Denmark,Rural,57.14,69.2,1,1.11164118032251
Victor Hill,USA,Town,84.7,100.0,5,5.0
Olivia Lee,USA,Town,59.89,63.9,2,2.32043590666447
Rhonda Bradley,Denmark,City,65.97,68.23,3,3.53179324478759
Jonathan Kennedy,South Korea,Rural,78.09,84.99,2,2.19193319358994
David Lopez,NZ,City,90.37,100.0,5,5.0
Jeremiah Huber,South Korea,Rural,66.14,87.04,5,5.0
Robert Romero,Denmark,Town,40.0,51.54,4,4.60634518481021
Jill Rasmussen,South Korea,City,51.01,60.6,3,3.13286396819991
Jerry Haynes,USA,City,40.0,45.1,3,3.1112657883132
Paige Gonzalez,USA,Town,40.0,48.27,3,3.22226028010944
Derek Green,Denmark,Rural,55.85,61.89,3,3.28509270555301
Andrew Bradford,South Korea,Town,59.84,82.44,4,4.5356010074832
Jacqueline Garrett,NZ,Rural,93.47,100.0,3,3.33082968262901
Richard Fox,USA,City,89.74,94.38,4,4.86282241599245
Monique Beltran,Denmark,City,50.93,54.35,4,4.69242532388843
David Li,South Korea,City,72.21,93.16,3,3.80170175891519
Eddie Taylor,USA,Rural,58.25,70.63,3,2.57999629636955
Stephen Walker,South Korea,City,60.61,70.76,4,4.50947263373923
Matthew Simmons,South Korea,City,40.0,57.63,5,5.0
Tiffany Gould,Denmark,Rural,74.21,88.31,4,5.0
Michael Cowan,USA,City,53.85,63.57,3,3.47018359882762
Michael Harper,USA,City,40.0,52.52,3,3.43441907742942
Crystal Ward,USA,Rural,62.94,67.47,2,2.42233984950771
Bruce Mendoza,Denmark,Town,42.81,58.14,3,3.84070365498961
Tim Benson,USA,Town,59.68,72.12,4,4.72262910324218
Sara Paul,USA,Rural,59.33,75.24,4,4.47825752341761
Dr. Andrea Little,Denmark,City,68.59,68.3,2,2.01837067072855
Ryan Levy,South Korea,City,88.28,100.0,3,3.48110240662361
Robert Cox,South Korea,City,76.34,85.09,4,4.12714576367529
Janet Berg,USA,City,53.6,72.77,2,2.63649597587642
Ashley Barker,South Korea,Rural,74.4,80.2,1,1.25138394320854
Sarah Mooney,USA,Town,62.78,69.48,1,1.1867193765165
Janice Castro,South Korea,City,40.0,48.0,1,1.20466526911443
Julie Lawson,USA,Town,61.0,74.85,5,5.0
John Lee,NZ,Town,61.37,77.8,3,3.66208054749512
Christopher Russell,South Korea,Town,59.96,82.2,2,2.51133133493787
Lisa Carter,Denmark,Rural,96.88,100.0,1,1.0
Christina Flowers,Denmark,City,44.54,48.51,2,2.59337298935705
Crystal Hughes,NZ,City,40.0,45.59,3,3.87028637973186
Carlos Lyons,NZ,Rural,45.81,52.96,3,3.5000371096559
Thomas Cisneros,USA,City,73.35,75.87,3,3.16667934855151
Sarah Brown,USA,Town,100.0,100.0,4,4.59550326043407
Jennifer Stephens,NZ,Rural,89.23,100.0,3,3.36052482735088
Carmen Salazar,South Korea,City,88.1,100.0,4,5.0
Joseph Romero,Denmark,Town,50.22,53.49,3,3.3132779907732
Nathan Ingram,NZ,City,40.0,53.54,3,3.47952031914095
Autumn Cook,South Korea,City,74.88,86.08,2,2.60643836673726
Leslie Martinez,South Korea,City,70.37,80.94,3,3.76262118891796
James Bell,USA,Town,54.55,63.51,3,4.17760762908534
Brian King,USA,City,59.13,81.16,3,3.46218944167222
Mark Wilson,South Korea,City,89.55,100.0,3,3.5314321690992
Cindy Tran,Denmark,Town,47.22,54.69,2,1.88973909600613
Paul Lewis,USA,Town,78.05,96.11,5,4.43777113327811
Sandra Robinson,USA,Rural,72.14,74.69,3,3.66842663335327
Michael Hansen,USA,City,66.13,73.54,4,4.54535801900872
Monica Schmidt,Denmark,City,100.0,100.0,4,5.0
Caroline Miller,USA,Rural,92.42,100.0,2,2.42528606251924
Kiara Brown,Denmark,Rural,72.17,90.62,4,4.88079150445683
Kevin Howell,NZ,Town,40.0,50.84,3,3.35888832867535
Aaron Potter,USA,City,72.29,87.27,4,4.91166318264933
Randy Sandoval,South Korea,Town,40.0,44.33,4,5.0
Adam Watts,South Korea,Town,67.31,76.1,3,4.23943605035449
Paul Lopez,USA,City,55.96,66.74,5,5.0
Diana Roberts,USA,Town,90.06,100.0,3,4.42331372281798
Dustin Wood,USA,Town,58.2,63.35,5,5.0
Andrew Ortiz,NZ,Rural,78.2,92.67,3,3.3743396331775
Jessica Williams,South Korea,Rural,89.02,100.0,3,3.50144144980258
Marc Watkins,NZ,Town,42.74,46.21,2,2.5025971376382
Dustin Rodriguez,South Korea,City,76.48,95.55,3,3.32820550047963
James Meyer,South Korea,Rural,49.37,60.49,2,2.30081005581377
Colleen Riley,South Korea,Town,61.51,73.82,5,5.0
Kristin Sanchez,USA,City,45.28,50.76,3,3.99616300835183
Rhonda Houston,USA,Town,40.0,47.92,5,5.0
Tyler Zhang,USA,City,62.64,79.11,4,5.0
Cynthia Sanchez,USA,Town,40.0,42.48,4,4.12400093637625
Cynthia Marsh,USA,City,89.61,100.0,3,3.58276564213812
Belinda Huffman,South Korea,City,40.0,57.49,4,5.0
Shawn Cooper,USA,Town,69.05,85.29,2,2.11889492397375
Steven Chase,USA,City,64.03,70.71,3,3.5277194846219
Annette Johnson,Denmark,City,88.19,93.2,3,3.83984668019253
Jennifer Ramirez,South Korea,City,40.0,40.61,3,3.34344777315366
Erika Schmidt,USA,Town,56.58,59.14,2,2.17531210348452
Laura Thomas,South Korea,City,51.16,59.31,4,4.78240481516882
Dennis Pitts,Denmark,Rural,51.78,49.82,3,2.67717672433623
Nicole Hicks,NZ,City,40.0,45.26,3,3.24029561578014
Derek Smith,NZ,Town,41.28,46.61,4,4.61319956153657
Christopher Mills,USA,Rural,50.18,56.67,3,3.27737812375897
Teresa Brock,South Korea,Rural,81.39,91.9,3,4.17034033012694
Catherine Gardner,USA,City,70.15,80.14,2,2.19355206786645
Jennifer Dunlap,Denmark,Town,40.0,44.91,2,2.00391451682656
Amanda Rhodes,NZ,Rural,55.87,66.46,2,2.2639810474311
Brandon Hall,Denmark,Rural,56.8,72.46,3,4.17489240519235
Carly Wolf DDS,NZ,City,100.0,100.0,3,4.05778974403123
Linda Ibarra,South Korea,Town,66.25,97.92,5,5.0
Roberta Jefferson,South Korea,Rural,44.09,50.04,4,4.6148966266747
Tammy Lee,South Korea,City,89.95,90.03,3,3.94400360301195
Deborah Lindsey,Denmark,Rural,88.21,100.0,3,3.66472001272062
Beth Collins,USA,Town,43.19,59.15,3,3.41483467754515
Colin Torres,USA,Town,58.4,79.81,3,3.75676201350368
Matthew Robinson,Denmark,City,48.38,75.67,4,4.69656389050461
Alvin Ingram,USA,City,61.02,73.45,3,3.28995611056086
Brandi Lang DDS,Denmark,Rural,77.74,94.24,1,1.29659921532649
Jenna Williams,South Korea,Town,82.57,100.0,1,1.46939831879347
Eric Sanchez,NZ,City,75.41,79.71,5,5.0
Brian Wallace,USA,Town,63.29,77.87,2,2.16332599955065
Mitchell Grant,USA,City,65.62,80.77,3,3.4577884490644
Danielle Henderson,NZ,City,54.21,62.73,2,2.18382841255383
Ryan Andrade,Denmark,Rural,40.0,52.32,4,5.0
Ronald Hall,Denmark,Town,81.26,86.64,5,5.0
Leslie Fox,USA,Town,74.87,95.32,3,3.71043588075037
Stephanie Burke,Denmark,City,40.0,46.37,3,3.50113570955734
Ariana Henry,Denmark,Rural,40.0,41.87,3,3.64325885514639
Peggy Case,NZ,Rural,78.35,100.0,4,4.31227671748452
Anthony Mcgee,Denmark,City,73.86,90.61,3,3.56266095914165
Richard Best,South Korea,Rural,40.0,47.37,5,5.0
Vicki Evans,NZ,Rural,67.67,85.04,3,3.76695208525725
David Bryant,South Korea,Town,79.36,99.71,5,5.0
Charles Matthews,Denmark,City,74.91,100.0,5,5.0
Aaron Thomas,NZ,Town,54.24,63.48,1,1.0
Keith Jackson,USA,City,90.29,100.0,2,2.44216955537148
Cheyenne Brooks,USA,Town,60.83,76.82,4,5.0
Benjamin Nguyen,USA,Town,40.0,51.63,4,4.8099095833234
Joshua Weber,USA,City,100.0,97.76,3,3.53550391870779
Stephen Robinson,USA,Town,57.21,57.31,2,2.76850834629076
Ryan Ortiz,USA,Town,47.09,55.09,1,1.36304660401634
Lori Hill DVM,NZ,Rural,64.54,80.81,4,5.0
Austin Sandoval,Denmark,City,40.0,53.73,4,4.3386660677085
Christine Randall,Denmark,Town,40.0,39.0,3,3.76040258648804
Taylor Reeves,South Korea,City,87.08,100.0,3,3.5299406731361
Courtney Carr,USA,Town,77.12,83.49,5,5.0
Susan Gross,NZ,Rural,74.87,82.39,1,1.20102141366228
Fernando Henderson,USA,Town,42.6,52.89,3,3.74521130061091
Gregory Davis,USA,City,45.09,59.26,4,4.61717768512154
Manuel Martin,Denmark,City,57.33,52.42,3,3.19903737346308
Christopher Lawson,USA,City,55.04,58.27,3,3.62087509895118
Danny Thomas,USA,Town,76.21,86.74,3,3.50894412693511
Judy Johnson,South Korea,City,57.05,78.09,1,1.28336892343129
Heather White,South Korea,City,62.55,63.21,3,3.90426419086423
Emily Wilson,Denmark,Rural,67.97,77.32,5,5.0
Zachary Martinez,South Korea,Town,81.63,81.97,4,5.0
Jack Weber,USA,Rural,79.59,97.0,5,5.0
Joseph Mcdaniel,South Korea,City,70.9,93.55,5,5.0
Nicole Donovan,USA,City,42.17,56.29,1,1.14554531227145
Laurie Myers,USA,Rural,61.82,71.63,3,3.71207694586149
Jason Fisher,USA,Town,68.77,96.51,3,3.80823284530965
Jerry Novak,NZ,City,58.84,68.02,2,2.08695137525483
Robert Knight,NZ,City,48.57,62.09,4,4.06557089005982
Christopher Evans,USA,Town,47.02,51.95,4,4.55691259337601
