Name,Age,Age Group,Country,Handedness,Home Location Type,Sleep,Sleep Group,Tertiary Qualifications,Car,Registration Date,Weight Time 1,Weight Time 2
Kristen Williams,74,70 to <80,USA,Right,Town,6.5,Under 7 hours,No Qualifications,BMW,2030-09-01,97.74,106.647005231079
Carolyn Walls,58,50 to <60,NZ,Left,Rural,7.0,7 to <9 hours,No Qualifications,Suzuki,2032-04-01,95.24,93.8337448391744
Rachel Graham,35,30 to <40,USA,Right,City,6.0,Under 7 hours,No Qualifications,Tesla,2032-03-01,94.57,90.0241220829534
Craig Herrera,57,50 to <60,USA,Ambidextrous,City,7.5,7 to <9 hours,Undergraduate,Kia,2030-02-01,97.32,101.168851130071
Sheryl Pierce,31,30 to <40,USA,Left,Town,9.0,9+ hours,No Qualifications,Citroën,2031-11-01,91.9,87.8299784705534
Matthew Thomas,25,20 to <30,Denmark,Right,Rural,8.5,7 to <9 hours,No Qualifications,Renault,2031-05-01,92.99,87.7178135447685
Jennifer Jennings,51,50 to <60,South Korea,Ambidextrous,City,7.5,7 to <9 hours,Undergraduate,BMW,2032-09-01,95.84,99.9920356947372
Christopher Padilla,11,<20,NZ,Right,City,6.5,Under 7 hours,No Qualifications,Nissan,2032-09-01,79.26,93.6965486395489
Bryce West,89,80+,USA,Right,Rural,7.5,7 to <9 hours,No Qualifications,Kia,2032-12-01,96.79,94.6003602150343
Henry Holloway,26,20 to <30,South Korea,Right,Rural,7.0,7 to <9 hours,No Qualifications,Mazda,2031-01-01,90.62,106.049669044186
John Collier,16,<20,South Korea,Right,Town,8.5,7 to <9 hours,No Qualifications,Honda,2032-04-01,87.47,97.2858649138981
Amy Johns,73,70 to <80,Denmark,Right,Town,4.0,Under 7 hours,No Qualifications,Mazda,2031-02-01,98.35,106.905542309933
Carol Rivas,17,<20,USA,Right,City,8.5,7 to <9 hours,No Qualifications,Volkswagen,2032-10-01,91.51,91.6543868819527
Adam Ramirez DDS,50,50 to <60,NZ,Right,City,6.5,Under 7 hours,No Qualifications,Jaguar,2032-05-01,97.05,98.1437149124015
Tyler Williams,9,<20,USA,Right,Town,8.0,7 to <9 hours,No Qualifications,Mitsubishi,2032-05-01,76.23,84.4563886625968
Keith Holland,52,50 to <60,USA,Ambidextrous,Town,6.0,Under 7 hours,No Qualifications,Kia,2032-11-01,93.44,99.9512775209393
Kayla Giles,96,80+,Denmark,Right,Town,5.5,Under 7 hours,No Qualifications,Peugeot,2032-02-01,98.39,107.78588828664
Pamela Olson,9,<20,USA,Right,Town,7.5,7 to <9 hours,No Qualifications,Honda,2032-04-01,70.39,70.9415449689328
Shari Butler,87,80+,USA,Right,City,9.5,9+ hours,No Qualifications,Mazda,2030-11-01,95.54,105.832978294829
Colleen Henderson,70,70 to <80,USA,Right,Town,6.5,Under 7 hours,No Qualifications,Honda,2032-12-01,97.76,101.438020317304
Deborah Willis,37,30 to <40,NZ,Right,Town,7.5,7 to <9 hours,Undergraduate,Honda,2030-10-01,94.93,101.574639770408
Kevin Briggs,45,40 to <50,Denmark,Left,Rural,6.0,Under 7 hours,No Qualifications,BMW,2032-01-01,88.67,90.3291321091323
Ricky Stafford,24,20 to <30,USA,Left,Town,8.5,7 to <9 hours,Undergraduate,Mitsubishi,2031-04-01,93.75,92.9559699807142
Patricia Hancock,13,<20,South Korea,Right,Town,6.5,Under 7 hours,No Qualifications,Mazda,2032-02-01,83.94,84.3302824968078
Andrew Chavez,14,<20,USA,Right,City,5.5,Under 7 hours,No Qualifications,Toyota,2032-08-01,77.17,79.6001906519425
Nathan Smith,8,<20,South Korea,Left,City,9.0,9+ hours,No Qualifications,Kia,2031-04-01,76.52,86.1744440545634
Rachel Schmidt,88,80+,South Korea,Right,Town,7.0,7 to <9 hours,No Qualifications,Mitsubishi,2030-01-01,94.59,103.102905586993
Christopher Howell,24,20 to <30,South Korea,Ambidextrous,City,8.0,7 to <9 hours,No Qualifications,BMW,2031-03-01,90.1,83.7663851836723
David Chavez,34,30 to <40,Denmark,Right,Town,8.0,7 to <9 hours,No Qualifications,Nissan,2031-06-01,96.08,102.518535374537
John Maxwell,54,50 to <60,South Korea,Right,City,6.0,Under 7 hours,No Qualifications,Nissan,2030-04-01,90.26,97.8477677625146
Robert Rosario,32,30 to <40,USA,Right,Town,8.5,7 to <9 hours,No Qualifications,Audi,2031-11-01,85.49,89.6857216977999
Jacob Byrd,76,70 to <80,USA,Right,Town,7.0,7 to <9 hours,No Qualifications,Nissan,2032-05-01,94.77,92.4035514152851
Carol West,69,60 to <70,Denmark,Right,City,8.0,7 to <9 hours,Undergraduate,Mitsubishi,2030-09-01,103.22,99.0593879985179
Paul Jensen,31,30 to <40,NZ,Left,Town,6.0,Under 7 hours,No Qualifications,Mitsubishi,2032-07-01,89.65,86.01874096463
Gregory Whitaker,34,30 to <40,USA,Right,Town,11.5,9+ hours,No Qualifications,Toyota,2030-09-01,94.38,109.898034164692
Joseph Taylor,82,80+,NZ,Right,City,5.5,Under 7 hours,No Qualifications,Citroën,2031-02-01,96.8,121.758593977193
Edward Bryant,59,50 to <60,South Korea,Right,City,4.5,Under 7 hours,Undergraduate,Nissan,2031-11-01,92.85,93.5958256083319
John Lopez,85,80+,USA,Right,Town,6.5,Under 7 hours,No Qualifications,Mazda,2032-06-01,96.29,108.068958039723
Shannon Sanchez,39,30 to <40,USA,Left,City,6.0,Under 7 hours,No Qualifications,Fiat,2030-02-01,97.18,91.5238856751297
Richard Wright,10,<20,USA,Right,Rural,7.5,7 to <9 hours,No Qualifications,Tesla,2032-06-01,77.91,92.3697558276719
Misty Ray,10,<20,South Korea,Left,City,8.0,7 to <9 hours,No Qualifications,Mitsubishi,2032-03-01,77.32,84.2800621436843
Manuel Wilson,41,40 to <50,South Korea,Ambidextrous,City,9.0,9+ hours,No Qualifications,Hyundai,2031-06-01,91.1,91.7642914464327
Reginald Tate,25,20 to <30,USA,Ambidextrous,City,9.0,9+ hours,No Qualifications,Citroën,2031-04-01,95.44,109.882196150792
Kathryn Davenport,62,60 to <70,USA,Right,Rural,7.0,7 to <9 hours,No Qualifications,Mazda,2030-04-01,94.93,98.4377467217139
Holly Farrell,75,70 to <80,USA,Right,Rural,7.5,7 to <9 hours,No Qualifications,Mitsubishi,2031-10-01,93.3,112.454811563056
Dustin Becker,12,<20,South Korea,Right,Rural,5.5,Under 7 hours,No Qualifications,Nissan,2032-11-01,76.51,83.8766398607565
Mr. Derek Marks,80,80+,USA,Right,Town,3.5,Under 7 hours,No Qualifications,Renault,2031-11-01,92.82,96.1557378778238
Ronald Cruz,44,40 to <50,USA,Right,City,10.0,9+ hours,Postgraduate,Maserati,2031-11-01,91.13,100.032598724097
Brent Foster,17,<20,Denmark,Right,Rural,10.5,9+ hours,No Qualifications,Fiat,2030-10-01,91.32,88.6726507918089
Ashley Long,91,80+,South Korea,Right,Town,8.5,7 to <9 hours,No Qualifications,Toyota,2031-02-01,96.58,109.081083828682
Erica Spencer,34,30 to <40,USA,Right,City,6.5,Under 7 hours,No Qualifications,Volkswagen,2030-09-01,94.43,101.349402212202
Laurie Davis,55,50 to <60,NZ,Right,Rural,5.5,Under 7 hours,No Qualifications,Mercedes,2032-09-01,95.86,93.3957978570595
Amber Potter,76,70 to <80,USA,Right,City,8.5,7 to <9 hours,No Qualifications,Tesla,2030-04-01,96.0,102.11365824769
Robert Wagner,53,50 to <60,NZ,Right,City,7.5,7 to <9 hours,Undergraduate,Mazda,2031-11-01,92.08,91.478231604158
Jared Moore,20,20 to <30,South Korea,Right,Town,6.5,Under 7 hours,No Qualifications,Volkswagen,2032-04-01,92.82,98.0866364204097
Clifford Leon,29,20 to <30,USA,Right,Town,4.5,Under 7 hours,Undergraduate,Nissan,2031-07-01,93.79,96.4186357685911
Angela Owens,41,40 to <50,South Korea,Right,Rural,7.0,7 to <9 hours,No Qualifications,Kia,2031-12-01,93.37,101.881310908212
William Chavez,37,30 to <40,USA,Left,City,8.0,7 to <9 hours,No Qualifications,Citroën,2032-09-01,91.99,89.6966143277465
Phillip Ortiz,34,30 to <40,USA,Left,Rural,7.0,7 to <9 hours,No Qualifications,Kia,2032-02-01,92.08,100.199081326765
Spencer Conley,70,70 to <80,Denmark,Right,Town,5.0,Under 7 hours,Postgraduate,Aston Martin,2030-03-01,96.66,102.480540505181
Mason Woods,10,<20,Denmark,Right,Rural,6.5,Under 7 hours,No Qualifications,Honda,2030-02-01,77.18,83.0360337836643
Ashley Willis,79,70 to <80,USA,Right,Rural,6.5,Under 7 hours,No Qualifications,Suzuki,2032-03-01,93.01,107.4343679798
Jeffery Hopkins,22,20 to <30,USA,Right,City,9.0,9+ hours,No Qualifications,Kia,2030-10-01,94.82,93.4144580618728
Jasmine Booth,79,70 to <80,NZ,Ambidextrous,Town,8.0,7 to <9 hours,No Qualifications,Renault,2031-07-01,93.98,87.3884353668077
Dennis White,92,80+,South Korea,Right,City,7.5,7 to <9 hours,Undergraduate,Honda,2030-10-01,89.72,95.1454356950366
Justin Gonzales,57,50 to <60,USA,Left,City,6.5,Under 7 hours,No Qualifications,Volkswagen,2030-10-01,94.54,93.6527116812156
Juan Moore,42,40 to <50,NZ,Ambidextrous,City,7.0,7 to <9 hours,No Qualifications,Audi,2030-03-01,96.65,104.396822513003
Christopher Clark,14,<20,NZ,Left,Rural,6.5,Under 7 hours,No Qualifications,Audi,2031-02-01,78.18,80.6448181083425
Jacob Walsh,79,70 to <80,USA,Right,Town,7.5,7 to <9 hours,No Qualifications,Tesla,2032-04-01,94.16,90.7948550857144
Robert Grant,79,70 to <80,Denmark,Right,City,6.5,Under 7 hours,Undergraduate,Peugeot,2030-10-01,97.39,98.1410888013161
Yvonne Berry,23,20 to <30,USA,Right,City,5.0,Under 7 hours,No Qualifications,Hyundai,2030-03-01,88.91,101.464009084333
Kathy Knight,52,50 to <60,USA,Right,City,7.5,7 to <9 hours,No Qualifications,Toyota,2032-07-01,96.69,106.062412219627
Brandon Matthews,9,<20,USA,Right,City,10.5,9+ hours,No Qualifications,Tesla,2031-01-01,72.12,79.6720848415751
Lori Bryan,82,80+,USA,Right,Town,8.0,7 to <9 hours,No Qualifications,Kia,2032-07-01,97.08,109.043337114077
Emily Fisher,41,40 to <50,South Korea,Left,City,8.5,7 to <9 hours,No Qualifications,Citroën,2031-03-01,93.49,97.3215986358606
Dennis Bailey,78,70 to <80,South Korea,Left,Town,5.5,Under 7 hours,Postgraduate,Toyota,2032-05-01,95.67,97.3210443873701
Steven Jones,37,30 to <40,USA,Left,Town,9.5,9+ hours,Undergraduate,Volkswagen,2032-05-01,95.99,98.901628205293
Daniel Johnson,86,80+,South Korea,Right,City,6.0,Under 7 hours,Undergraduate,Citroën,2032-01-01,98.29,94.4806989411336
Jimmy Reyes,46,40 to <50,South Korea,Right,City,9.5,9+ hours,Undergraduate,Audi,2032-02-01,97.63,101.647666758331
Jeffery Smith,92,80+,USA,Right,City,7.5,7 to <9 hours,No Qualifications,Mitsubishi,2031-10-01,97.52,92.2003252954448
Travis Hines,87,80+,USA,Right,City,7.5,7 to <9 hours,Undergraduate,Audi,2030-01-01,99.69,95.6014927805909
Jonathan Gilmore,72,70 to <80,South Korea,Right,City,6.0,Under 7 hours,Postgraduate,Mercedes,2031-10-01,97.86,108.358683867759
Ryan Hall,15,<20,Denmark,Right,Rural,8.5,7 to <9 hours,No Qualifications,Mini,2032-12-01,88.04,95.1837614363281
Vincent Potter,16,<20,South Korea,Right,City,10.5,9+ hours,No Qualifications,Kia,2030-01-01,88.49,78.3305350136749
Lisa Willis,21,20 to <30,USA,Right,City,6.0,Under 7 hours,Undergraduate,Volkswagen,2031-05-01,95.05,105.680704714968
Emily Ford,37,30 to <40,Denmark,Right,City,7.5,7 to <9 hours,No Qualifications,Honda,2030-02-01,92.25,87.4590915913675
Brenda Rose,66,60 to <70,Denmark,Right,Town,6.5,Under 7 hours,No Qualifications,Mazda,2030-03-01,93.71,107.463608641171
Claire Parrish,85,80+,USA,Right,Town,9.5,9+ hours,No Qualifications,Mini,2031-03-01,98.63,108.018525788144
Angela Thompson,39,30 to <40,USA,Right,City,5.5,Under 7 hours,Undergraduate,Tesla,2030-04-01,90.3,91.799652226357
Debbie White,36,30 to <40,South Korea,Left,City,6.5,Under 7 hours,No Qualifications,Toyota,2032-08-01,90.03,91.9153983944346
Kristi Watson,85,80+,South Korea,Right,City,8.0,7 to <9 hours,No Qualifications,Hyundai,2031-10-01,97.9,95.9180280295114
Christine Barker,68,60 to <70,South Korea,Right,City,8.0,7 to <9 hours,No Qualifications,Fiat,2030-11-01,96.85,116.925558101184
Alexander Cline,69,60 to <70,South Korea,Right,City,5.0,Under 7 hours,Undergraduate,Honda,2032-07-01,95.3,92.2498322047292
Kimberly Miller,30,30 to <40,South Korea,Right,Rural,6.0,Under 7 hours,Undergraduate,Audi,2031-08-01,91.73,100.459288855291
Kimberly Copeland,65,60 to <70,USA,Left,City,5.5,Under 7 hours,No Qualifications,Tesla,2031-11-01,95.7,97.9241017389335
Sarah Lee,28,20 to <30,USA,Left,Town,10.0,9+ hours,No Qualifications,Citroën,2032-03-01,86.97,82.3565804062719
Holly Nichols,87,80+,USA,Left,Town,7.0,7 to <9 hours,No Qualifications,Tesla,2031-09-01,92.79,91.8796808933038
Thomas Duran,51,50 to <60,USA,Right,City,7.5,7 to <9 hours,No Qualifications,Mitsubishi,2030-11-01,95.65,92.5412331301394
Jonathan French,73,70 to <80,USA,Right,City,8.0,7 to <9 hours,No Qualifications,Toyota,2031-11-01,95.12,94.1778393327704
Wendy Sloan,71,70 to <80,USA,Right,Rural,8.0,7 to <9 hours,Postgraduate,Toyota,2032-06-01,99.29,99.2628085550884
William Wu,28,20 to <30,NZ,Right,Rural,8.0,7 to <9 hours,No Qualifications,Mitsubishi,2032-10-01,91.77,90.3349782654808
Brandi Powers,39,30 to <40,South Korea,Ambidextrous,City,7.0,7 to <9 hours,No Qualifications,Tesla,2030-02-01,93.4,104.558429034922
Luis Sutton,64,60 to <70,South Korea,Right,Rural,8.0,7 to <9 hours,No Qualifications,Kia,2031-01-01,93.01,95.8952511218684
Amber Bauer,53,50 to <60,USA,Right,City,8.0,7 to <9 hours,Undergraduate,Volkswagen,2032-02-01,99.6,110.437696497236
Jeffrey Mitchell,77,70 to <80,USA,Right,City,7.0,7 to <9 hours,Postgraduate,Porsche,2030-09-01,94.17,88.4381570334345
Colin Sullivan,69,60 to <70,USA,Right,Town,6.5,Under 7 hours,No Qualifications,Fiat,2030-10-01,95.88,95.8900547853361
Christopher Bond,20,20 to <30,South Korea,Right,City,7.5,7 to <9 hours,No Qualifications,Honda,2032-06-01,90.71,101.602295027623
Karen Johnson,16,<20,South Korea,Right,City,7.5,7 to <9 hours,No Qualifications,Kia,2031-11-01,93.43,88.4010921175676
Christopher Tanner,53,50 to <60,South Korea,Left,City,7.5,7 to <9 hours,No Qualifications,Mitsubishi,2031-01-01,92.2,101.838263817759
Isaac Parsons DDS,21,20 to <30,NZ,Left,Rural,6.5,Under 7 hours,No Qualifications,Toyota,2030-10-01,86.15,82.1271599113928
Holly Tapia,9,<20,South Korea,Ambidextrous,Rural,6.0,Under 7 hours,No Qualifications,Kia,2032-08-01,70.52,73.8753574303197
John Nicholson,19,<20,USA,Left,City,10.0,9+ hours,No Qualifications,Tesla,2030-11-01,94.13,94.3993895309753
Randall Clark,68,60 to <70,NZ,Right,Town,8.5,7 to <9 hours,No Qualifications,Toyota,2032-01-01,90.53,95.4973275155016
Gordon Carroll,61,60 to <70,South Korea,Right,City,6.0,Under 7 hours,No Qualifications,Volkswagen,2032-10-01,95.35,114.190618444051
Nancy Montgomery,27,20 to <30,USA,Right,Rural,8.0,7 to <9 hours,No Qualifications,Toyota,2032-08-01,95.44,109.311168011259
Amanda Alexander,41,40 to <50,USA,Right,City,5.0,Under 7 hours,Undergraduate,Mercedes,2031-06-01,93.93,81.2277727892089
Beverly Nunez,61,60 to <70,USA,Right,City,6.0,Under 7 hours,No Qualifications,Nissan,2031-02-01,95.9,101.50442345841
Ronald Steele,33,30 to <40,USA,Left,Town,6.5,Under 7 hours,No Qualifications,Mini,2031-04-01,93.2,109.983553338039
John Zhang,10,<20,USA,Right,Town,7.0,7 to <9 hours,No Qualifications,Toyota,2030-04-01,74.92,80.9388079891102
Elizabeth Johnson,53,50 to <60,South Korea,Right,Rural,6.0,Under 7 hours,Undergraduate,Fiat,2030-03-01,95.82,91.3547321366885
Lisa Smith,80,80+,South Korea,Left,City,9.5,9+ hours,No Qualifications,Aston Martin,2031-08-01,95.96,103.667895009948
Leonard Armstrong,24,20 to <30,USA,Right,City,9.0,9+ hours,Undergraduate,Suzuki,2031-11-01,95.9,116.766846204672
Christopher Ibarra,37,30 to <40,USA,Right,Town,8.0,7 to <9 hours,No Qualifications,Toyota,2032-01-01,94.5,89.8085069693606
William Rogers,78,70 to <80,USA,Right,City,6.0,Under 7 hours,No Qualifications,Mini,2031-08-01,96.17,95.0358860026286
Margaret Marquez,97,80+,USA,Right,City,6.0,Under 7 hours,Postgraduate,Mini,2032-02-01,96.88,89.9946701261698
Stephanie Shaw,8,<20,NZ,Right,City,10.5,9+ hours,No Qualifications,Mini,2031-11-01,70.3,88.3897536566576
Thomas Bird,54,50 to <60,South Korea,Left,Rural,6.5,Under 7 hours,Postgraduate,Suzuki,2031-02-01,96.28,102.589807319766
Jessica Lee,55,50 to <60,South Korea,Right,City,7.0,7 to <9 hours,No Qualifications,Hyundai,2031-04-01,99.15,111.778886778578
Edward Anderson,82,80+,South Korea,Right,Town,5.5,Under 7 hours,No Qualifications,Hyundai,2032-03-01,100.36,112.947278307749
Anthony Donovan,70,70 to <80,NZ,Right,Town,7.0,7 to <9 hours,Undergraduate,Hyundai,2030-09-01,97.52,98.9123838988959
Casey Kennedy,78,70 to <80,Denmark,Right,Rural,7.0,7 to <9 hours,Undergraduate,BMW,2031-11-01,97.92,103.552968059402
Mr. Scott Jenkins,57,50 to <60,NZ,Right,City,9.0,9+ hours,Postgraduate,Mazda,2032-04-01,94.8,103.199370389073
Danielle Carroll,26,20 to <30,South Korea,Right,Rural,6.0,Under 7 hours,No Qualifications,BMW,2031-06-01,90.97,99.2596611269235
April Frazier,11,<20,Denmark,Left,City,6.5,Under 7 hours,No Qualifications,Volkswagen,2032-03-01,77.01,75.2553866532387
Deborah Floyd,64,60 to <70,USA,Left,Town,7.0,7 to <9 hours,No Qualifications,Hyundai,2031-11-01,100.23,99.9465000033348
Scott Gonzalez,37,30 to <40,USA,Right,City,6.5,Under 7 hours,No Qualifications,Volkswagen,2032-12-01,94.17,104.626311833152
Barbara Beck,19,<20,South Korea,Right,Rural,9.0,9+ hours,No Qualifications,Toyota,2030-03-01,100.73,100.003036162618
Debbie Wilkerson,21,20 to <30,USA,Right,Town,7.0,7 to <9 hours,No Qualifications,Mitsubishi,2032-06-01,94.77,102.454068079443
Gary Blake,32,30 to <40,Denmark,Right,City,8.0,7 to <9 hours,Undergraduate,Renault,2032-03-01,93.14,87.1580317435956
Terry Kelley,65,60 to <70,USA,Right,Town,7.0,7 to <9 hours,No Qualifications,Mitsubishi,2031-04-01,95.35,115.760604811938
Jacob Campbell,56,50 to <60,USA,Right,City,7.0,7 to <9 hours,No Qualifications,Nissan,2031-04-01,93.72,101.034635645555
Michael Cox,82,80+,USA,Right,City,8.0,7 to <9 hours,No Qualifications,Peugeot,2031-09-01,101.18,106.260623642167
William Brown,41,40 to <50,South Korea,Right,City,8.0,7 to <9 hours,No Qualifications,Volkswagen,2032-02-01,94.55,95.9009746722959
Jeremy Arnold,15,<20,Denmark,Ambidextrous,City,10.0,9+ hours,No Qualifications,Renault,2030-04-01,79.87,91.0425922117186
Paige Williams,21,20 to <30,NZ,Right,Rural,11.0,9+ hours,No Qualifications,Mini,2031-09-01,92.79,97.1766335321828
Karen Solomon,29,20 to <30,USA,Left,Town,7.5,7 to <9 hours,No Qualifications,Kia,2032-07-01,94.37,88.5676804022611
Erica Blair,44,40 to <50,USA,Right,City,10.0,9+ hours,Undergraduate,Renault,2032-04-01,94.58,108.747963278886
Jason Phillips,68,60 to <70,NZ,Left,Rural,5.5,Under 7 hours,No Qualifications,Tesla,2031-10-01,95.98,93.6324326213261
Howard Brown,77,70 to <80,USA,Right,City,9.0,9+ hours,Postgraduate,Renault,2030-11-01,92.29,94.8226960138191
Michael Gomez,9,<20,South Korea,Right,City,8.0,7 to <9 hours,No Qualifications,Mazda,2031-09-01,78.13,84.8223522448777
Angela Duffy,75,70 to <80,USA,Left,City,7.0,7 to <9 hours,Postgraduate,Mitsubishi,2030-02-01,95.91,97.6550949820986
Joseph Henderson,16,<20,USA,Right,City,6.5,Under 7 hours,No Qualifications,Audi,2032-08-01,88.5,90.5674655352248
Jennifer David,87,80+,USA,Right,City,7.0,7 to <9 hours,No Qualifications,Porsche,2031-03-01,90.72,91.8069514373269
Christopher King,54,50 to <60,USA,Right,Town,6.5,Under 7 hours,No Qualifications,Jaguar,2032-09-01,94.97,91.2270936682664
Rachel Taylor,66,60 to <70,NZ,Ambidextrous,City,8.0,7 to <9 hours,Undergraduate,Mini,2030-04-01,95.59,107.243394445722
Tammy Armstrong,11,<20,USA,Right,Town,10.0,9+ hours,No Qualifications,Aston Martin,2032-10-01,81.81,87.5164728362829
Christina Wright,76,70 to <80,Denmark,Right,City,7.5,7 to <9 hours,No Qualifications,Suzuki,2031-09-01,100.76,98.781925856325
Sarah Bishop,56,50 to <60,USA,Left,Rural,7.5,7 to <9 hours,No Qualifications,Tesla,2032-09-01,97.68,102.91598831756
John Lee,55,50 to <60,USA,Right,City,5.5,Under 7 hours,Undergraduate,Toyota,2030-02-01,94.5,98.9556213607319
Donna Berger,60,60 to <70,Denmark,Right,City,7.5,7 to <9 hours,No Qualifications,Hyundai,2032-12-01,96.35,101.701357456044
Anita Hopkins,18,<20,USA,Right,City,7.5,7 to <9 hours,No Qualifications,Renault,2030-02-01,94.84,89.5877160519319
Mrs. Jasmine Cohen,76,70 to <80,USA,Right,Rural,9.0,9+ hours,Undergraduate,Porsche,2032-05-01,95.13,96.9729818154283
Patricia Tate,88,80+,South Korea,Right,Town,9.0,9+ hours,No Qualifications,Nissan,2032-01-01,100.08,111.261577476949
Blake Brown,97,80+,Denmark,Ambidextrous,Town,8.0,7 to <9 hours,No Qualifications,Mitsubishi,2030-11-01,96.04,96.186104606587
Linda Moore,59,50 to <60,NZ,Right,City,6.0,Under 7 hours,No Qualifications,Mitsubishi,2031-02-01,94.71,98.9096823801158
Sherry Compton,24,20 to <30,South Korea,Left,Town,9.5,9+ hours,No Qualifications,Hyundai,2032-10-01,93.31,95.0292329194147
Ryan Williamson,56,50 to <60,NZ,Right,Rural,6.0,Under 7 hours,Undergraduate,Kia,2030-10-01,98.27,95.062679392827
Tonya Ward,9,<20,South Korea,Right,City,10.0,9+ hours,No Qualifications,Kia,2032-12-01,77.69,83.7439331685049
Lauren Taylor,12,<20,USA,Right,Town,9.5,9+ hours,No Qualifications,Volkswagen,2032-12-01,81.37,88.1752781583235
David Mendoza,45,40 to <50,Denmark,Ambidextrous,City,10.5,9+ hours,Undergraduate,Renault,2032-03-01,95.93,109.556069370861
Michael Porter,75,70 to <80,Denmark,Right,City,5.0,Under 7 hours,No Qualifications,Volkswagen,2032-10-01,96.2,100.537411394428
Alexander Young,12,<20,NZ,Right,Town,9.5,9+ hours,No Qualifications,Mini,2031-04-01,76.34,78.1565636286344
Kayla Valdez,32,30 to <40,NZ,Right,Town,8.0,7 to <9 hours,Undergraduate,Nissan,2031-05-01,87.46,92.2550270850136
Barbara Mcbride,9,<20,NZ,Right,City,8.5,7 to <9 hours,No Qualifications,Toyota,2031-03-01,77.29,80.5143329711307
Olivia Davis,32,30 to <40,Denmark,Right,City,8.0,7 to <9 hours,Undergraduate,Audi,2032-12-01,94.59,98.0429866646262
Dr. Nicole Nunez,20,20 to <30,USA,Right,City,7.0,7 to <9 hours,No Qualifications,Renault,2032-05-01,86.79,91.2870999037394
Daniel Patton,38,30 to <40,NZ,Right,Town,6.0,Under 7 hours,No Qualifications,Lamborghini,2031-09-01,97.25,99.5952408376873
Kayla Garcia,22,20 to <30,South Korea,Right,City,7.5,7 to <9 hours,No Qualifications,Mitsubishi,2031-03-01,90.77,94.3046728445382
John Nelson,27,20 to <30,Denmark,Ambidextrous,Town,6.0,Under 7 hours,No Qualifications,Peugeot,2032-10-01,92.58,98.6736300073337
Hannah Lewis,97,80+,USA,Right,Rural,3.0,Under 7 hours,No Qualifications,Mazda,2032-08-01,96.13,91.8861624017511
Kelly Hudson,44,40 to <50,NZ,Right,Town,7.0,7 to <9 hours,Undergraduate,Hyundai,2030-11-01,94.76,90.4743905701261
Tim Rosales,39,30 to <40,NZ,Right,Rural,8.5,7 to <9 hours,Undergraduate,Honda,2032-02-01,95.03,105.4629482882
David Rodriguez,34,30 to <40,Denmark,Right,Town,6.5,Under 7 hours,No Qualifications,Volkswagen,2032-11-01,93.95,101.774544097397
Alyssa Crawford,50,50 to <60,USA,Right,City,7.5,7 to <9 hours,Undergraduate,Mitsubishi,2031-06-01,93.92,91.2156199960355
Brian Reyes,25,20 to <30,USA,Right,City,8.0,7 to <9 hours,No Qualifications,Mazda,2032-03-01,90.48,87.2559194372999
Brenda Washington,31,30 to <40,NZ,Right,Rural,8.0,7 to <9 hours,No Qualifications,Volkswagen,2032-07-01,92.67,92.103842245692
Danielle Dunlap,89,80+,South Korea,Ambidextrous,City,6.5,Under 7 hours,No Qualifications,Volkswagen,2030-09-01,96.69,111.437163851294
Mrs. Michelle Reyes MD,87,80+,NZ,Right,Rural,5.0,Under 7 hours,No Qualifications,Nissan,2032-07-01,99.13,105.905996428169
Christina Hill,19,<20,NZ,Right,Rural,9.5,9+ hours,No Qualifications,Fiat,2032-05-01,92.88,89.600135099283
Molly Armstrong,11,<20,Denmark,Right,Town,8.5,7 to <9 hours,No Qualifications,Renault,2031-01-01,80.05,84.8209275603266
Debbie Ferguson,66,60 to <70,South Korea,Right,City,4.5,Under 7 hours,No Qualifications,Peugeot,2031-09-01,104.48,117.044759176216
Randy Flores DDS,11,<20,USA,Right,City,6.5,Under 7 hours,No Qualifications,Tesla,2030-04-01,75.61,81.3485015933728
Nathan Moore,27,20 to <30,NZ,Right,Town,5.5,Under 7 hours,No Qualifications,Jaguar,2032-11-01,91.58,101.337171374625
Jeffrey Spencer,25,20 to <30,USA,Right,Rural,8.0,7 to <9 hours,No Qualifications,Peugeot,2031-03-01,91.68,91.9976646897781
Timothy Shah,83,80+,NZ,Right,Town,7.5,7 to <9 hours,No Qualifications,Tesla,2031-10-01,93.84,89.4037440708556
Debbie Anderson,33,30 to <40,USA,Right,City,5.0,Under 7 hours,No Qualifications,Honda,2030-02-01,92.64,94.3362250949852
Andrea Livingston,14,<20,South Korea,Left,City,5.5,Under 7 hours,No Qualifications,Honda,2032-09-01,80.98,91.8255010729913
Eric Lara,28,20 to <30,USA,Right,Rural,8.5,7 to <9 hours,No Qualifications,Nissan,2031-12-01,89.31,86.2327157291807
James Wallace,70,70 to <80,South Korea,Left,City,7.0,7 to <9 hours,No Qualifications,Toyota,2032-09-01,99.51,101.801516274583
Roger Stephens,36,30 to <40,USA,Right,Rural,9.0,9+ hours,Undergraduate,Citroën,2031-02-01,90.4,110.121569319562
Nicholas Lawson,60,60 to <70,Denmark,Right,Town,7.5,7 to <9 hours,No Qualifications,Hyundai,2031-12-01,95.59,98.8410078262375
Andres Smith,41,40 to <50,Denmark,Right,Town,7.5,7 to <9 hours,No Qualifications,Nissan,2030-10-01,94.87,103.994740423599
Bradley Carson,56,50 to <60,USA,Right,City,7.5,7 to <9 hours,No Qualifications,Volkswagen,2030-11-01,95.83,97.6877252593461
